Hybrid Model,Max Depth,Min Samples Split,Criterion,Accuracy,F1-Score,ROC AUC,Precision,Recall
HybridOption.NONE,5,50,f1_gini,0.7882,0.5088531011322648,0.684605721092723,0.5371785995604889,0.4979840585016986
HybridOption.NONE,10,25,f1_proxy_impurity,0.7889666666666668,0.5087258234162,0.6832701238740964,0.5277355425866538,0.493482977087673
HybridOption.NONE,10,5,f1_gini,0.7773666666666667,0.5077301717626314,0.6863063073973855,0.5065599410599777,0.5221032389477334
HybridOption.NONE,7,100,f1_proxy_impurity,0.7891,0.5077086022316375,0.6824990394559227,0.5288459383687021,0.4911269123147483
HybridOption.NONE,10,50,f1_proxy_impurity,0.7892666666666666,0.5071324891272437,0.6820531842560004,0.5293435789357448,0.4895415432441752
HybridOption.NONE,3,25,f1_gini,0.7876,0.5061072664845488,0.6827996789685469,0.5361592021864375,0.4940343644505955
HybridOption.NONE,3,5,f1_gini,0.7873333333333333,0.5060885505459748,0.6828421637718123,0.5355834738075707,0.4946329054149422
HybridOption.NONE,3,3,f1_gini,0.7873333333333333,0.5060885505459748,0.6828421637718123,0.5355834738075707,0.4946329054149422
HybridOption.NONE,3,2,f1_gini,0.7873333333333333,0.5060885505459748,0.6828421637718123,0.5355834738075707,0.4946329054149422
HybridOption.NONE,3,10,f1_gini,0.7871333333333335,0.5056494891758602,0.6825563914507495,0.5351458247511448,0.4941886343599463
HybridOption.NONE,3,50,f1_gini,0.7878666666666667,0.5052335628949659,0.6820827130979178,0.5367498191626071,0.4915798728053593
HybridOption.NONE,15,50,f1_proxy_impurity,0.7910666666666666,0.5045761831069773,0.6800055192698218,0.533701139271487,0.4806162313198815
HybridOption.NONE,15,10,f1_proxy_impurity,0.7893,0.5044222042379658,0.6802061171386407,0.5286688744868238,0.4844349763492321
HybridOption.NONE,7,100,f1_gini,0.7892333333333333,0.5036110261131433,0.6804006114022011,0.536909591637704,0.4845122493653034
HybridOption.NONE,10,100,f1_proxy_impurity,0.791,0.5033953617518037,0.6791818101962106,0.5338733993069305,0.4785145848532504
HybridOption.NONE,5,100,f1_gini,0.7884333333333334,0.5032867495280164,0.6805833865405395,0.5377731035820542,0.4863499845409311
HybridOption.NONE,3,100,f1_gini,0.7879333333333334,0.5031075253424879,0.6804696200698851,0.5370141189262779,0.4869923236611918
HybridOption.NONE,10,100,f1_gini,0.791,0.5025859442857178,0.6793683837052782,0.5409709152312537,0.4784728351641784
HybridOption.NONE,15,25,f1_proxy_impurity,0.7908666666666667,0.502336541351668,0.6784558158846855,0.5326665484375508,0.4767280224735239
HybridOption.NONE,15,10,f1_gini,0.7630000000000001,0.501371180472203,0.6840523709030651,0.4745072896986002,0.5416902584147918
HybridOption.NONE,15,100,f1_gini,0.7946666666666667,0.4989148041660466,0.6762564878472482,0.5504571332283703,0.4632736189259162
HybridOption.NONE,15,100,f1_proxy_impurity,0.7923333333333333,0.4980568896368996,0.6753085427095838,0.5374716041697823,0.4654444235267626
HybridOption.NONE,1,5,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,100,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,10,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,50,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,3,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,2,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,1,25,f1_proxy_impurity,0.7831333333333333,0.4977613554760985,0.6782645047641264,0.5172423923844872,0.4894349472363806
HybridOption.NONE,15,3,f1_proxy_impurity,0.7851666666666668,0.4959991641251607,0.6749694984881496,0.5190945119233923,0.477139284286021
HybridOption.NONE,1,5,f1_gini,0.7864666666666666,0.4952557513149086,0.6771171710042363,0.540460701713423,0.4799385443586826
